"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m","relative_auto","percentage"
"41","rTCA",0,0,0,0,"chemoautotrophy","3500",50,0,0
"42","total",NA,NA,NA,0.170510886460018,NA,"3500",50,NA,17.0510886460019
"43","3HP Bicycle",556.17431207249,0,2214.64127734036,0.0636383413066345,"chemoautotrophy","3500",150,0.292209035638122,6.36383413066345
"44","3HP/4HB or DC/4HB",288.451736864538,0,865.355210593615,0.0330051023260572,"chemoautotrophy","3500",150,0.151549976379244,3.30051023260572
"45","CBB",1052.14472430115,990.173294165258,1114.11615443705,0.120388057513028,"chemoautotrophy","3500",150,0.552787477893634,12.0388057513028
"46","WL",0,0,0,0,"chemoautotrophy","3500",150,0,0
"47","rTCA",6.57321767545746,0,32.8660883772873,0.000752117925681982,"chemoautotrophy","3500",150,0.00345351008899983,0.0752117925681982
"48","total",NA,NA,NA,0.217783619071402,NA,"3500",150,NA,21.7783619071402
"49","3HP Bicycle",388.791457899637,0,1788.02568694633,0.0564112403998491,"chemoautotrophy","3500",500,0.248812312661641,5.64112403998491
"50","3HP/4HB or DC/4HB",220.335825934882,0,661.007477804645,0.0319693681354502,"chemoautotrophy","3500",500,0.141006869619091,3.19693681354502
"51","CBB",953.462017878832,791.813491402405,1115.11054435526,0.138341452750159,"chemoautotrophy","3500",500,0.610180817719268,13.8341452750159
"52","WL",0,0,0,0,"chemoautotrophy","3500",500,0,0
"53","rTCA",0,0,0,0,"chemoautotrophy","3500",500,0,0
"54","total",NA,NA,NA,0.226722061285458,NA,"3500",500,NA,22.6722061285458
"55","3HP Bicycle",421.80113730458,0,1541.17250966808,0.05652525120713,"chemoautotrophy","3500",1000,0.247921765735173,5.652525120713
"56","3HP/4HB or DC/4HB",201.328374127061,0,603.985122381182,0.0269798630591117,"chemoautotrophy","3500",1000,0.11833464064401,2.69798630591117
"57","CBB",1044.98956784806,609.924161763104,1480.05497393302,0.140038261178962,"chemoautotrophy","3500",1000,0.614212802960391,14.0038261178962
"58","WL",33.2286666666666,0,166.143333333333,0.00445294847380896,"chemoautotrophy","3500",1000,0.0195307906604262,0.445294847380896
"59","rTCA",0,0,0,0,"chemoautotrophy","3500",1000,0,0
"60","total",NA,NA,NA,0.227996323919013,NA,"3500",1000,NA,22.7996323919013
"61","3HP Bicycle",364.433562031657,0,1052.42491359682,0.0416681103140272,"chemoautotrophy","3500",2000,0.298036609405963,4.16681103140272
"62","3HP/4HB or DC/4HB",255.437843476452,0,766.313530429356,0.0292059056828291,"chemoautotrophy","3500",2000,0.208899060666316,2.92059056828291
"63","CBB",601.438732169119,53.1780777021779,1149.69938663606,0.0687664859938849,"chemoautotrophy","3500",2000,0.491861286051185,6.87664859938849
"64","WL",0,0,0,0,"chemoautotrophy","3500",2000,0,0
"65","rTCA",1.47105943152455,0,7.35529715762274,0.000168195998001771,"chemoautotrophy","3500",2000,0.00120304387653559,0.0168195998001771
"66","total",NA,NA,NA,0.139808697988743,NA,"3500",2000,NA,13.9808697988743
"67","3HP Bicycle",483.789892366221,0,1579.13891125641,0.0475512524836751,"chemoautotrophy","3500",3000,0.334698076457802,4.75512524836751
"68","3HP/4HB or DC/4HB",265.250646011381,0,795.751938034144,0.026071235962072,"chemoautotrophy","3500",3000,0.183507101739932,2.6071235962072
"69","CBB",693.170042779214,365.466401937778,1020.87368362065,0.0681310300988333,"chemoautotrophy","3500",3000,0.479552557085573,6.81310300988333
"70","WL",0,0,0,0,"chemoautotrophy","3500",3000,0,0
"71","rTCA",3.24108527131782,0,16.2054263565891,0.00031856321615932,"chemoautotrophy","3500",3000,0.00224226471669364,0.031856321615932
"72","total",NA,NA,NA,0.14207208176074,NA,"3500",3000,NA,14.207208176074
"73","3HP Bicycle",181.4579905282,0,894.319073121965,0.0322395660596778,"chemoautotrophy","4000",50,0.0951016415801262,3.22395660596778
"74","3HP/4HB or DC/4HB",95.5164466574107,0,286.549339972232,0.0169703675370455,"chemoautotrophy","4000",50,0.0500599111043755,1.69703675370455
"75","CBB",1631.06823708638,1344.30776304661,1917.82871112615,0.289791218476082,"chemoautotrophy","4000",50,0.854838447315498,28.9791218476082
"76","WL",0,0,0,0,"chemoautotrophy","4000",50,0,0
"77","rTCA",0,0,0,0,"chemoautotrophy","4000",50,0,0
"78","total",NA,NA,NA,0.339001152072805,NA,"4000",50,NA,33.9001152072805
"79","3HP Bicycle",245.83927490835,0,988.962726721958,0.0522828976309783,"chemoautotrophy","4000",150,0.245726137668508,5.22828976309783
"80","3HP/4HB or DC/4HB",164.566988860235,0,493.700966580704,0.0349986349220465,"chemoautotrophy","4000",150,0.164491253789441,3.49986349220465
"81","CBB",586.036246802845,475.165119939801,696.907373665888,0.12463294610293,"chemoautotrophy","4000",150,0.585766548141246,12.463294610293
"82","WL",0,0,0,0,"chemoautotrophy","4000",150,0,0
"83","rTCA",4.0179094755234,0,20.089547377617,0.000854493041755193,"chemoautotrophy","4000",150,0.00401606040080509,0.0854493041755193
"84","total",NA,NA,NA,0.21276897169771,NA,"4000",150,NA,21.276897169771
"85","3HP Bicycle",209.37020292427,0,928.040913207888,0.0492379327555943,"chemoautotrophy","4000",500,0.223848963178826,4.92379327555943
"86","3HP/4HB or DC/4HB",91.981829948359,0,275.945489845077,0.0216315172573624,"chemoautotrophy","4000",500,0.0983427296609095,2.16315172573624
