"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m"
"148","CBB",905.807656673901,646.483018815232,1165.13229453257,0.149132606312444,"chemoautotrophy","4500","1000"
"149","DC/4HB",0,0,0,0,"chemoautotrophy","4500","1000"
"150","WL",0,0,0,0,"chemoautotrophy","4500","1000"
"151","rTCA",3.05198427051742,0,15.2599213525871,0.000502480151645157,"chemoautotrophy","4500","1000"
"152","single copy",6073.84045026455,4991.42077910422,7920.7291088439,1,"single copy","4500","1000"
"153","3HP Bicycle",453.763072549215,0,1396.01372784545,0.0638423704219933,"chemoautotrophy","4500","150"
"154","3HP/4HB",0,0,0,0,"chemoautotrophy","4500","150"
"155","3HP/4HB or DC/4HB",439.887049674623,0,1319.66114902387,0.061890078034323,"chemoautotrophy","4500","150"
"156","CBB",638.869345225434,585.299339011844,692.439351439023,0.0898859688162807,"chemoautotrophy","4500","150"
"157","DC/4HB",0,0,0,0,"chemoautotrophy","4500","150"
"158","WL",0,0,0,0,"chemoautotrophy","4500","150"
"159","rTCA",32.5079923875789,0,158.752307616907,0.00457372452108926,"chemoautotrophy","4500","150"
"160","single copy",7107.55364423149,5544.7297913875,9154.18702666092,1,"single copy","4500","150"
"161","3HP Bicycle",480.22326670701,0,1473.15444988729,0.0475764815057299,"chemoautotrophy","4500","2000"
"162","3HP/4HB",0,0,0,0,"chemoautotrophy","4500","2000"
"163","3HP/4HB or DC/4HB",389.326461690047,0,1167.97938507014,0.0385711907115669,"chemoautotrophy","4500","2000"
"164","CBB",965.586900434265,642.04766229767,1289.12613857086,0.0956622273337579,"chemoautotrophy","4500","2000"
"165","DC/4HB",0,0,0,0,"chemoautotrophy","4500","2000"
"166","WL",0,0,0,0,"chemoautotrophy","4500","2000"
"167","rTCA",3.06264643310416,0,15.3132321655208,0.000303421244835413,"chemoautotrophy","4500","2000"
"168","single copy",10093.7112520432,8045.77044697396,12706.622797204,1,"single copy","4500","2000"
"169","3HP Bicycle",400.612682091294,0,1212.19459730601,0.0404080415260487,"chemoautotrophy","4500","3000"
"170","3HP/4HB",0,0,0,0,"chemoautotrophy","4500","3000"
"171","3HP/4HB or DC/4HB",183.968894288576,0,551.906682865729,0.018556134271905,"chemoautotrophy","4500","3000"
"172","CBB",529.540813006398,157.29677610667,901.784849906127,0.0534124557664999,"chemoautotrophy","4500","3000"
"173","DC/4HB",0,0,0,0,"chemoautotrophy","4500","3000"
"174","WL",0,0,0,0,"chemoautotrophy","4500","3000"
"175","rTCA",5.1526210744122,0,25.763105372061,0.000519722254562561,"chemoautotrophy","4500","3000"
"176","single copy",9914.18210241748,7565.66953495496,12220.4726979684,1,"single copy","4500","3000"
"177","3HP Bicycle",644.017000988513,0,2019.81618012757,0.0617969579154388,"chemoautotrophy","4500","4000"
"178","3HP/4HB",0,0,0,0,"chemoautotrophy","4500","4000"
"179","3HP/4HB or DC/4HB",361.650699691167,0,1084.9520990735,0.0347023650534074,"chemoautotrophy","4500","4000"
"180","CBB",534.648674399913,194.941182033292,874.356166766535,0.0513024680726183,"chemoautotrophy","4500","4000"
"181","DC/4HB",0,0,0,0,"chemoautotrophy","4500","4000"
"182","WL",0,0,0,0,"chemoautotrophy","4500","4000"
"183","rTCA",10.1246052319115,0,50.6230261595576,0.000971511314866713,"chemoautotrophy","4500","4000"
"184","single copy",10421.5000659056,8231.36952407767,12215.5923059058,1,"single copy","4500","4000"
"185","3HP Bicycle",266.044328695573,0,956.997379915006,0.0385594084774428,"chemoautotrophy","4500","500"
"186","3HP/4HB",0,0,0,0,"chemoautotrophy","4500","500"
"187","3HP/4HB or DC/4HB",254.514467107788,0,763.543401323365,0.0368883161266621,"chemoautotrophy","4500","500"
"188","CBB",779.135115194813,168.681450814896,1389.58877957473,0.112924749470204,"chemoautotrophy","4500","500"
"189","DC/4HB",0,0,0,0,"chemoautotrophy","4500","500"
"190","WL",0,0,0,0,"chemoautotrophy","4500","500"
"191","rTCA",1.83280839895013,0,9.16404199475066,0.000265639970836868,"chemoautotrophy","4500","500"
"192","single copy",6899.59569403686,5214.971918168,9039.93066566693,1,"single copy","4500","500"
"193","3HP Bicycle",306.063647810287,0,935.355771975526,0.0470624924530519,"chemoautotrophy","4500","50"
"194","3HP/4HB",0,0,0,0,"chemoautotrophy","4500","50"
"195","3HP/4HB or DC/4HB",141.676250678587,0,425.02875203576,0.0217851336675913,"chemoautotrophy","4500","50"
"196","CBB",3280.92839282467,870.060963334632,5691.79582231471,0.504498553915246,"chemoautotrophy","4500","50"
"197","DC/4HB",0,0,0,0,"chemoautotrophy","4500","50"
"198","WL",0.547111111111112,0,2.73555555555556,8.41276405148502e-05,"chemoautotrophy","4500","50"
"199","rTCA",0,0,0,0,"chemoautotrophy","4500","50"
"200","single copy",6503.34548506131,5081.18944350384,8055.91358438541,1,"single copy","4500","50"
"201","3HP Bicycle",353.487395682747,0,1254.81478256304,0.0584105928312688,"chemoautotrophy","500","150"
"202","3HP/4HB",0,0,0,0,"chemoautotrophy","500","150"
"203","3HP/4HB or DC/4HB",268.078014080378,0,804.234042241135,0.0442974655354264,"chemoautotrophy","500","150"
"204","CBB",897.604649106554,712.457756582687,1082.75154163042,0.148321044322248,"chemoautotrophy","500","150"
"205","DC/4HB",0,0,0,0,"chemoautotrophy","500","150"
"206","WL",0,0,0,0,"chemoautotrophy","500","150"
"207","rTCA",0,0,0,0,"chemoautotrophy","500","150"
"208","single copy",6051.76866983475,4278.19289218244,7520.96853173044,1,"single copy","500","150"
"209","3HP Bicycle",258.933391501008,0,1264.44748741499,0.0695015412318523,"chemoautotrophy","500","500"
"210","3HP/4HB",0,0,0,0,"chemoautotrophy","500","500"
"211","3HP/4HB or DC/4HB",66.4571223133847,0,199.371366940154,0.0178380717907369,"chemoautotrophy","500","500"
"212","CBB",550.758770004957,440.584415378668,660.933124631247,0.147831776892147,"chemoautotrophy","500","500"
"213","DC/4HB",0,0,0,0,"chemoautotrophy","500","500"
"214","WL",0,0,0,0,"chemoautotrophy","500","500"
"215","rTCA",0,0,0,0,"chemoautotrophy","500","500"
"216","single copy",3725.57769096406,3089.32735609258,4280.53062825951,1,"single copy","500","500"
"217","3HP Bicycle",193.228675935029,0,688.39972955661,0.0310501138825001,"chemoautotrophy","500","50"
"218","3HP/4HB",0,0,0,0,"chemoautotrophy","500","50"
"219","3HP/4HB or DC/4HB",230.652613713917,0,691.957841141752,0.0370638047818613,"chemoautotrophy","500","50"
"220","CBB",623.167930502424,553.125760516798,693.21010048805,0.100137493135482,"chemoautotrophy","500","50"
"221","DC/4HB",0,0,0,0,"chemoautotrophy","500","50"
"222","WL",0,0,0,0,"chemoautotrophy","500","50"
"223","rTCA",0,0,0,0,"chemoautotrophy","500","50"
"224","single copy",6223.12293817166,4991.72130806299,8038.14532094839,1,"single copy","500","50"
