scaffold,reconciled_taxonomy
OC1703_3000m_150m_sens_contig_2746975,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_150m_sens_contig_4245729,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_50m_sens_contig_3771925,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_2304028,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_500m_sens_contig_4345888,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_500m_sens_contig_71734,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_3501441,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_500m_sens_contig_2283301,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_2894064,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_519423,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_500m_sens_contig_1608694,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_500m_sens_contig_121895,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_50m_sens_contig_3383798,eukaryote
OC1703_3000m_50m_sens_contig_890841,eukaryote
OC1703_4500m_50m_sens_contig_4021843,eukaryote
OC1703_4000m_50m_sens_contig_1661934,eukaryote
OC1703_3500m_50m_sens_contig_4354393,eukaryote
OC1703_3500m_50m_sens_contig_958083,eukaryote
OC1703_3000m_50m_sens_contig_2646026,eukaryote
OC1703_500m_50m_sens_contig_4151794,eukaryote
OC1703_4500m_50m_sens_contig_751397,eukaryote
OC1703_4500m_150m_sens_contig_5530210,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_5449883,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_6994973,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_2043199,p__Planctomycetota
OC1703_3000m_1000m_sens_contig_353389,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_1000m_sens_contig_2093937,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_150m_sens_contig_379634,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_3000m_sens_contig_3243273,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_3000m_sens_contig_2404900,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_4410870,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_3000m_sens_contig_2346525,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_150m_sens_contig_4515469,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_500m_sens_contig_4982426,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_500m_sens_contig_1877030,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_150m_sens_contig_3535019,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_1000m_sens_contig_2488710,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_500m_sens_contig_5921275,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_500m_sens_contig_1255740,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_1000m_sens_contig_2030393,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_1000m_sens_contig_1832037,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_2161376,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_150m_sens_contig_3436758,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_4117383,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_150m_sens_contig_245818,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_150m_sens_contig_4025747,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_50m_sens_contig_3267355,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_957727,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_50m_sens_contig_3756193,p__Actinobacteriota
OC1703_4500m_50m_sens_contig_4949922,p__Actinobacteriota
OC1703_3000m_50m_sens_contig_2359402,p__Actinobacteriota
OC1703_4500m_50m_sens_contig_2725726,p__Actinobacteriota
OC1703_3000m_50m_sens_contig_1320207,p__Actinobacteriota
OC1703_3500m_50m_sens_contig_3869129,p__Actinobacteriota
OC1703_3000m_50m_sens_contig_5671475,p__Actinobacteriota
OC1703_4500m_50m_sens_contig_1105853,p__Actinobacteriota
OC1703_3000m_50m_sens_contig_3315352,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_1307182,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_742457,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_2383328,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_50m_sens_contig_3484024,p__Actinobacteriota
OC1703_4500m_150m_sens_contig_3073381,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_1000m_sens_contig_3615179,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_50m_sens_contig_435858,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_6943526,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_50m_sens_contig_3223703,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_3000m_sens_contig_1049039,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_185453,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_1094733,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_435350,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_2859602,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_2645467,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_2517785,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_2011735,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_1027690,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_1759168,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_3104848,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_967215,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_1349023,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_2841499,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_2000m_sens_contig_152343,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_3697255,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_289507,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_50m_sens_contig_2948358,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_3247673,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_966130,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_1217943,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_5586107,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_1987460,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_500m_sens_contig_3643841,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_1395529,p__Actinobacteriota
OC1703_4500m_150m_sens_contig_4960021,p__Actinobacteriota
OC1703_3500m_150m_sens_contig_1936930,p__Actinobacteriota
OC1703_500m_50m_sens_contig_2493861,p__Actinobacteriota
OC1703_4500m_150m_sens_contig_4017498,p__Actinobacteriota
OC1703_4500m_50m_sens_contig_376020,p__Actinobacteriota
OC1703_4000m_50m_sens_contig_390554,p__Actinobacteriota
OC1703_3500m_50m_sens_contig_1745339,p__Actinobacteriota
OC1703_3000m_50m_sens_contig_3402636,p__Actinobacteriota
OC1703_4000m_2000m_sens_contig_3659003,p__Actinobacteriota
OC1703_3500m_2000m_sens_contig_1389897,p__Actinobacteriota
OC1703_4500m_2000m_sens_contig_253718,p__Actinobacteriota
OC1703_3000m_2000m_sens_contig_3432857,p__Actinobacteriota
OC1703_3000m_500m_sens_contig_1255507,p__Actinobacteriota
OC1703_3500m_500m_sens_contig_3317118,p__Actinobacteriota
OC1703_4500m_1000m_sens_contig_1777892,p__Actinobacteriota
OC1703_3000m_1000m_sens_contig_1534369,p__Actinobacteriota
OC1703_3500m_1000m_sens_contig_2024782,p__Actinobacteriota
OC1703_4000m_1000m_sens_contig_354566,p__Actinobacteriota
OC1703_4500m_150m_sens_contig_4649665,p__Actinobacteriota
OC1703_3000m_150m_sens_contig_2544920,p__Actinobacteriota
OC1703_3500m_150m_sens_contig_2760245,p__Actinobacteriota
OC1703_4000m_150m_sens_contig_200093,p__Actinobacteriota
OC1703_500m_150m_sens_contig_912240,p__Actinobacteriota
OC1703_500m_150m_sens_contig_1635656,p__Actinobacteriota
OC1703_3000m_150m_sens_contig_456458,p__Actinobacteriota
OC1703_3500m_150m_sens_contig_2524710,p__Actinobacteriota
OC1703_4500m_500m_sens_contig_4385008,p__Actinobacteriota
OC1703_4000m_500m_sens_contig_1181779,p__Actinobacteriota
OC1703_3000m_500m_sens_contig_5334764,p__Actinobacteriota
OC1703_3500m_500m_sens_contig_305722,p__Actinobacteriota
OC1703_4000m_3000m_sens_contig_3090998,p__Actinobacteriota
OC1703_3000m_3000m_sens_contig_430907,p__Actinobacteriota
OC1703_4500m_3000m_sens_contig_4599683,p__Actinobacteriota
OC1703_3500m_3000m_sens_contig_1096371,p__Actinobacteriota
OC1703_4000m_50m_sens_contig_675095,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_50m_sens_contig_5621673,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_50m_sens_contig_4967875,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_3781874,unclassified
OC1703_4500m_3000m_sens_contig_4762732,unclassified
OC1703_4500m_2000m_sens_contig_1151537,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_825657,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_1270989,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_3344179,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_992368,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_2349035,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_2327013,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_4680951,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_1653540,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_1314996,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_2401737,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_12370,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_1168885,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_3209957,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_1189997,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_2200913,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_3039264,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_3258459,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_5166526,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_2000m_sens_contig_2101212,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_1295516,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_1283459,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_3623056,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_2718583,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_3686352,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_4586827,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_5019440,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_1333210,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_150m_sens_contig_3546723,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_3880705,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_972766,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_50m_sens_contig_3797270,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_50m_sens_contig_5235498,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_150m_sens_contig_398009,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_150m_sens_contig_242710,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_150m_sens_contig_1351649,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_2384045,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_150m_sens_contig_648184,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_4115330,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_705458,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_4091998,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_2000m_sens_contig_1051941,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_2448972,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_150m_sens_contig_905209,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_500m_sens_contig_3327295,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_1935762,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_1804124,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_1880512,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_2422856,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_4133203,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_150m_sens_contig_1720636,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_150m_sens_contig_247516,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_150m_sens_contig_10954,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_50m_sens_contig_3429200,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_50m_sens_contig_4081868,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_50m_sens_contig_3900512,p__Actinobacteriota
OC1703_3000m_50m_sens_contig_5616612,p__Actinobacteriota
OC1703_500m_50m_sens_contig_599489,p__Actinobacteriota
OC1703_3000m_3000m_sens_contig_2314766,p__Thermoplasmatota
OC1703_500m_50m_sens_contig_1133737,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_1169860,p__Thermoplasmatota
OC1703_4500m_50m_sens_contig_5821374,p__Thermoplasmatota
OC1703_3000m_150m_sens_contig_1263591,p__Planctomycetota
OC1703_4500m_4000m_sens_contig_4423524,p__Planctomycetota
OC1703_3000m_3000m_sens_contig_1783933,p__Planctomycetota
OC1703_4500m_4000m_sens_contig_3908508,unclassified
OC1703_4000m_150m_sens_contig_1826294,p__Myxococcota
OC1703_4000m_50m_sens_contig_2368782,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_1631206,p__Thermoplasmatota
OC1703_3000m_50m_sens_contig_2124881,p__Thermoplasmatota
OC1703_4000m_50m_sens_contig_2049961,p__Thermoplasmatota
OC1703_500m_50m_sens_contig_2345065,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_1421117,p__Thermoplasmatota
OC1703_3500m_50m_sens_contig_2991945,p__Thermoplasmatota
OC1703_4500m_3000m_sens_contig_2145502,p__Thermoplasmatota
OC1703_4000m_3000m_sens_contig_1803809,p__Thermoplasmatota
OC1703_3500m_3000m_sens_contig_1025816,p__Thermoplasmatota
OC1703_3000m_150m_sens_contig_568704,p__Thermoplasmatota
OC1703_500m_150m_sens_contig_721397,p__Thermoplasmatota
OC1703_3500m_150m_sens_contig_374076,p__Thermoplasmatota
